location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,cumulative_confirmed,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PR_72103,2020-01-01,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.444444,23.87037,29.135802,3.7465,23.488889,84.267147
US_PR_72103,2020-01-02,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.376543,24.555556,28.777778,0.677333,22.8,81.265592
US_PR_72103,2020-01-03,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,25.876543,23.765432,28.345679,1.052286,22.655556,83.630201
US_PR_72103,2020-01-04,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.450617,24.092593,28.67284,2.286,20.277778,69.371412
US_PR_72103,2020-01-05,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,25.401235,22.864198,28.351852,0.036286,21.111111,78.210654
US_PR_72103,2020-01-06,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,25.228395,23.141975,27.962963,1.524,22.088889,84.536285
US_PR_72103,2020-01-07,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.197531,23.438272,28.82716,0.423333,20.977778,73.255992
US_PR_72103,2020-01-08,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.376543,24.111111,29.006173,0.127,21.966667,77.806287
US_PR_72103,2020-01-09,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.858025,24.407407,29.259259,0.8255,21.877778,74.645793
US_PR_72103,2020-01-10,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.87037,24.092593,29.277778,2.4765,21.122222,71.690005
US_PR_72103,2020-01-11,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.728395,23.641975,29.191358,0.85725,20.188889,67.659288
US_PR_72103,2020-01-12,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.302469,23.820988,28.660494,0.47625,21.477778,75.678346
US_PR_72103,2020-01-13,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,26.055556,23.716049,28.506173,3.429,20.655556,72.236786
US_PR_72103,2020-01-14,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,25.604938,23.302469,27.944444,1.382889,20.2,72.497712
US_PR_72103,2020-01-15,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,25.277778,22.419753,28.154321,3.33375,21.266667,79.095924
US_PR_72103,2020-01-16,ChIJy19YrHSkBIwRsyblx1V-q5k,Q2659720,geoId/72103,US,United States of America,PR,Puerto Rico,72103,Naguabo Municipio,US,USA,2,,,,,26720,4467663,18.23135,-65.75988,133,60,25.67284,22.549383,28.438272,1.397,19.477778,68.38283
