location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51580,2020-01-01,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,39.5,43.89,3.405556,0.544444,7.338889,0.0,,-3.027778,63.67803
US_VA_51580,2020-01-02,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,19.59,50.72,3.411111,-2.688889,11.261111,0.0,,-3.255556,62.10607
US_VA_51580,2020-01-03,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,,37.18,9.261111,4.244444,12.383333,5.475111,,7.961111,91.838842
US_VA_51580,2020-01-04,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,37.92,43.34,10.022222,3.244444,13.866667,3.8735,,8.388889,89.751319
US_VA_51580,2020-01-05,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,,28.5,1.038889,-1.272222,7.044444,3.84175,,-3.866667,71.339616
US_VA_51580,2020-01-06,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,,39.54,3.555556,-1.844444,7.827778,0.0762,30.48,-4.216667,57.82201
US_VA_51580,2020-01-07,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,22.28,29.32,-0.8,-4.077778,6.611111,1.636889,50.8,-4.955556,73.835249
US_VA_51580,2020-01-08,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,32.44,38.92,1.688889,-3.75,5.772222,4.09575,50.8,-6.005556,57.65488
US_VA_51580,2020-01-09,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,19.27,34.0,0.455556,-5.761111,8.138889,0.1016,76.2,-9.222222,48.867361
US_VA_51580,2020-01-10,ChIJH0rHsmL2TIgR86ep8rzTim0,Q511908,geoId/51580,US,United States of America,VA,Virginia,51580,Covington,US,USA,2,,,,,,,5576,2670,2906,615,658,686,616,668,842,698,529,264,5884638,37.786225,-79.988817,381,14,75.95,,,,30.32,37.91,5.777778,-2.138889,12.422222,0.0,78.74,0.183333,68.111857
