location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,cumulative_confirmed,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,mobility_retail_and_recreation,mobility_parks,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PR_72087,2020-01-01,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.444444,23.87037,29.135802,3.7465,23.488889,84.267147
US_PR_72087,2020-01-02,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.376543,24.555556,28.777778,0.677333,22.8,81.265592
US_PR_72087,2020-01-03,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.876543,23.765432,28.345679,1.052286,22.655556,83.630201
US_PR_72087,2020-01-04,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.450617,24.092593,28.67284,2.286,20.277778,69.371412
US_PR_72087,2020-01-05,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.401235,22.864198,28.351852,0.036286,21.111111,78.210654
US_PR_72087,2020-01-06,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.228395,23.141975,27.962963,1.524,22.088889,84.536285
US_PR_72087,2020-01-07,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.197531,23.438272,28.82716,0.423333,20.977778,73.255992
US_PR_72087,2020-01-08,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.376543,24.111111,29.006173,0.127,21.966667,77.806287
US_PR_72087,2020-01-09,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.858025,24.407407,29.259259,0.8255,21.877778,74.645793
US_PR_72087,2020-01-10,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.87037,24.092593,29.277778,2.4765,21.122222,71.690005
US_PR_72087,2020-01-11,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.728395,23.641975,29.191358,0.85725,20.188889,67.659288
US_PR_72087,2020-01-12,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.302469,23.820988,28.660494,0.47625,21.477778,75.678346
US_PR_72087,2020-01-13,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.055556,23.716049,28.506173,3.429,20.655556,72.236786
US_PR_72087,2020-01-14,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.604938,23.302469,27.944444,1.382889,20.2,72.497712
US_PR_72087,2020-01-15,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.277778,22.419753,28.154321,3.33375,21.266667,79.095924
US_PR_72087,2020-01-16,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.67284,22.549383,28.438272,1.397,19.477778,68.38283
US_PR_72087,2020-01-17,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.54321,22.432099,28.537037,0.592667,20.855556,75.197139
US_PR_72087,2020-01-18,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.796296,22.888889,28.376543,0.03175,19.966667,70.126152
US_PR_72087,2020-01-19,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.209877,22.969136,27.925926,1.27,20.477778,75.443628
US_PR_72087,2020-01-20,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,25.037037,22.851852,27.851852,3.39725,22.011111,83.866061
US_PR_72087,2020-01-21,ChIJw4CCk0tiA4wRboYw6WtrYWo,Q1853983,geoId/72087,US,United States of America,PR,Puerto Rico,72087,Loíza Municipio,US,USA,2,,,,,30060,4467687,18.434167,-65.892778,0,1,,,,26.104938,23.438272,28.592593,3.104444,21.288889,75.358047
