location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,cumulative_confirmed,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PR_72139,2020-01-12,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.302469,23.820988,28.660494,0.47625,21.477778,75.678346
US_PR_72139,2020-01-13,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.055556,23.716049,28.506173,3.429,20.655556,72.236786
US_PR_72139,2020-01-14,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.604938,23.302469,27.944444,1.382889,20.2,72.497712
US_PR_72139,2020-01-15,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.277778,22.419753,28.154321,3.33375,21.266667,79.095924
US_PR_72139,2020-01-16,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.67284,22.549383,28.438272,1.397,19.477778,68.38283
US_PR_72139,2020-01-17,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.54321,22.432099,28.537037,0.592667,20.855556,75.197139
US_PR_72139,2020-01-18,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.796296,22.888889,28.376543,0.03175,19.966667,70.126152
US_PR_72139,2020-01-19,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.209877,22.969136,27.925926,1.27,20.477778,75.443628
US_PR_72139,2020-01-20,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.037037,22.851852,27.851852,3.39725,22.011111,83.866061
US_PR_72139,2020-01-21,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.104938,23.438272,28.592593,3.104444,21.288889,75.358047
US_PR_72139,2020-01-22,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.160494,23.611111,28.679012,0.225778,21.811111,78.510058
US_PR_72139,2020-01-23,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.950617,23.469136,28.382716,2.19075,22.188889,81.72871
US_PR_72139,2020-01-24,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,24.709877,22.765432,27.753086,10.6045,22.144444,85.450014
US_PR_72139,2020-01-25,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.160494,22.296296,28.179012,5.334,21.066667,78.794802
US_PR_72139,2020-01-26,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.203704,22.734568,27.753086,1.411111,21.155556,79.669153
US_PR_72139,2020-01-27,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,24.975309,22.339506,27.95679,3.39725,21.569444,79.886378
US_PR_72139,2020-01-28,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.475309,22.345679,28.401235,1.157111,22.1,83.826171
US_PR_72139,2020-01-29,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,25.993827,22.641975,29.382716,0.197556,21.3,77.298665
US_PR_72139,2020-01-30,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.148148,22.5,29.567901,0.028222,21.466667,75.27781
US_PR_72139,2020-01-31,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.395062,23.271605,29.54321,0.0,21.8,76.390156
US_PR_72139,2020-02-01,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.641975,23.82716,29.0,0.056444,21.677778,74.090447
US_PR_72139,2020-02-02,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.58642,23.91358,29.617284,0.0,20.844444,71.849295
US_PR_72139,2020-02-03,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.345679,23.160494,29.481481,0.0,20.977778,72.587378
US_PR_72139,2020-02-04,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.611111,23.851852,29.216049,0.028222,20.655556,69.456789
US_PR_72139,2020-02-05,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.746914,24.302469,29.506173,0.028222,21.044444,70.807642
US_PR_72139,2020-02-06,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,27.111111,24.666667,29.67284,0.141111,21.255556,70.58104
US_PR_72139,2020-02-07,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.901235,24.617284,29.141975,0.254,21.2,71.546284
US_PR_72139,2020-02-08,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.833333,25.030864,29.123457,0.254,20.1,66.685266
US_PR_72139,2020-02-09,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.635802,23.950617,29.117284,0.34925,20.577778,69.019038
US_PR_72139,2020-02-10,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.845679,24.283951,29.37037,0.366889,20.888889,69.981898
US_PR_72139,2020-02-11,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.716049,24.388889,29.438272,0.141111,20.222222,67.669792
US_PR_72139,2020-02-12,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.58642,24.561728,29.283951,0.169333,20.955556,71.229361
US_PR_72139,2020-02-13,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.740741,24.691358,29.382716,0.903111,19.788889,65.669317
US_PR_72139,2020-02-14,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,,,,,26.018519,23.654321,28.987654,0.15875,21.011111,73.758508
US_PR_72139,2020-02-15,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,1,-1,-1,,25.740741,23.117284,28.660494,6.575778,21.255556,76.210337
US_PR_72139,2020-02-16,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-6,-10,-5,,25.987654,23.598765,28.481481,2.6035,21.522222,76.390191
US_PR_72139,2020-02-17,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-3,1,-34,9,26.320988,23.759259,28.882716,0.733778,21.044444,72.827256
US_PR_72139,2020-02-18,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-4,-5,6,0,26.481481,23.975309,29.074074,0.28575,21.022222,71.657762
US_PR_72139,2020-02-19,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-3,-2,5,-1,26.117284,23.82716,28.759259,0.903111,20.633333,71.749439
US_PR_72139,2020-02-20,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-1,-5,6,-2,26.493827,24.351852,28.919753,1.0795,19.733333,66.455666
US_PR_72139,2020-02-21,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,3,2,5,-1,26.049383,23.320988,28.641975,0.084667,19.922222,69.1316
US_PR_72139,2020-02-22,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,2,-2,1,,26.185185,23.290123,29.283951,0.0,20.111111,69.908995
US_PR_72139,2020-02-23,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,2,-12,0,,25.981481,23.339506,29.166667,0.0,19.911111,70.216143
US_PR_72139,2020-02-24,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-3,-4,15,-1,24.746914,22.932099,27.58642,1.8415,21.077778,80.884521
US_PR_72139,2020-02-25,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-12,-15,3,3,24.802469,22.62963,27.462963,14.7955,21.577778,83.542964
US_PR_72139,2020-02-26,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,2,0,6,-1,25.839506,23.598765,28.450617,4.318,21.833333,78.147919
US_PR_72139,2020-02-27,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,4,-2,9,-3,25.444444,21.660494,28.555556,0.705556,19.2,69.146066
US_PR_72139,2020-02-28,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,11,-2,7,-4,25.962963,22.592593,28.709877,0.0,20.977778,74.286372
US_PR_72139,2020-02-29,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,6,-8,1,,25.82716,22.41358,28.814815,0.084667,21.0,74.932659
US_PR_72139,2020-03-01,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,11,-6,-4,,26.049383,22.845679,28.91358,0.169333,21.444444,76.075365
US_PR_72139,2020-03-02,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-6,-3,-11,5,25.339506,23.345679,28.185185,1.397,21.277778,78.929746
US_PR_72139,2020-03-03,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,6,5,5,0,25.765432,23.234568,28.493827,0.903111,20.711111,73.771541
US_PR_72139,2020-03-04,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-1,3,5,-1,26.32716,23.654321,28.888889,0.084667,20.744444,71.915324
US_PR_72139,2020-03-05,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,1,-4,6,-2,26.524691,23.993827,29.08642,0.084667,21.188889,72.853483
US_PR_72139,2020-03-06,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,0,3,5,-3,26.080247,23.734568,28.975309,0.5715,20.744444,73.083429
US_PR_72139,2020-03-07,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,1,-2,1,,25.919753,23.012346,28.765432,0.620889,20.622222,72.786168
US_PR_72139,2020-03-08,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,0,-3,-4,,25.191358,22.777778,28.259259,0.60325,20.855556,76.359277
US_PR_72139,2020-03-09,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-6,-4,12,0,24.555556,22.907407,27.203704,1.27,21.133333,81.765512
US_PR_72139,2020-03-10,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-5,-3,6,0,25.574074,22.685185,28.561728,6.519333,20.433333,74.078513
US_PR_72139,2020-03-11,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-5,3,4,0,25.462963,23.185185,28.018519,0.254,20.911111,76.397495
US_PR_72139,2020-03-12,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-1,26,5,-2,26.623457,23.783951,29.635802,3.245556,20.311111,69.281741
US_PR_72139,2020-03-13,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-3,25,3,0,26.160494,23.209877,29.006173,0.084667,21.277778,75.235833
US_PR_72139,2020-03-14,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-5,28,-2,,26.259259,23.493827,28.537037,0.5715,21.366667,76.039226
US_PR_72139,2020-03-15,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-18,16,-16,,25.907407,23.697531,28.333333,1.157111,18.122222,62.44887
US_PR_72139,2020-03-16,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-47,13,-40,,25.475309,23.5,28.067901,0.1905,19.211111,69.109456
US_PR_72139,2020-03-17,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-58,-12,-57,,26.179012,23.833333,28.716049,0.98425,20.788889,72.577193
US_PR_72139,2020-03-18,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-62,-8,-61,,25.888889,23.666667,28.462963,0.9525,21.377778,75.906074
US_PR_72139,2020-03-19,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-63,-9,-62,,26.234568,23.944444,28.746914,0.564444,20.788889,71.482329
US_PR_72139,2020-03-20,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-60,-7,-61,,25.888889,23.179012,29.0,2.511778,19.766667,68.498615
US_PR_72139,2020-03-21,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-62,-13,-46,,25.598765,22.888889,28.308642,1.213556,19.3,67.604537
US_PR_72139,2020-03-22,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-69,-34,-48,,25.679012,23.277778,28.604938,1.80975,20.588889,73.644437
US_PR_72139,2020-03-23,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-65,-25,-63,,25.314815,22.753086,27.722222,9.4615,20.4,74.53902
US_PR_72139,2020-03-24,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-65,-33,-65,,25.574074,23.685185,27.814815,3.386667,19.5,69.5304
US_PR_72139,2020-03-25,ChIJpyWCeXhdA4wRjF77NMt_BDk,Q1150895,geoId/72139,US,United States of America,PR,Puerto Rico,72139,Trujillo Alto Municipio,US,USA,2,,,,,67740,4467924,18.362778,-66.0175,18,55,-62,-30,-66,,26.265432,24.209877,28.611111,0.141111,20.033333,68.904533
